target_redshift,redshift,output_name,mode_criterion,lambda_threshold,population,mass_low_log10_msun,mass_high_log10_msun,mass_center_log10_msun,fraction,lower,upper,effective_n,effective_successes,total_weight,success_weight,raw_n,raw_successes,is_upper_limit
0.1,0.1,Output18,inclusive,0.001,quiescent,10,10.4,10.2,0,0.000338083748093,0.0166280902212,58.9991796359,0,4.54342569315e-05,0,59,0,True
0.1,0.1,Output18,inclusive,0.001,quiescent,10.4,10.8,10.6,0,0.000793116314395,0.0385800777102,24.9995270477,0,1.92570414675e-05,0,25,0,True
0.1,0.1,Output18,inclusive,0.001,quiescent,10.8,11.2,11,0,0.000433090945745,0.0212518165476,45.9992168041,0,3.54286798204e-05,0,46,0,True
0.1,0.1,Output18,inclusive,0.001,quiescent,11.2,11.6,11.4,0,0.00026620808774,0.0131158643549,74.9993045407,0,5.77474324357e-05,0,75,0,True
0.1,0.1,Output18,inclusive,0.001,quiescent,11.6,12,11.8,0,0.00123200196168,0.0592956852937,15.9999812264,0,1.23252459429e-05,0,16,0,True
0.1,0.1,Output18,thin_disk_dominated,0.1,star_forming,10,10.4,10.2,0.000462457897536,0.000192539558133,0.00120118799297,2151.94506033,0.995183988212,0.00165726023912,7.66413085852e-07,2152,1,False
0.1,0.1,Output18,thin_disk_dominated,0.1,star_forming,10.4,10.8,10.6,0.00315461339747,0.00193893191475,0.00515874436574,1263.96919732,3.98733416387,0.000973336596733,3.07050066831e-06,1264,4,False
0.1,0.1,Output18,thin_disk_dominated,0.1,star_forming,10.8,11.2,11,0.00406656164849,0.00209019663048,0.00807287973874,490.987229198,1.99662983616,0.000378142628823,1.53774031203e-06,491,2,False
0.1,0.1,Output18,thin_disk_dominated,0.1,star_forming,11.2,11.6,11.4,0,0.000327046390398,0.0160895450243,60.9991300761,0,4.69921690232e-05,0,61,0,True
0.1,0.1,Output18,thin_disk_dominated,0.1,star_forming,11.6,12,11.8,0,0.00275794591345,0.127942087951,6.99999629315,0,5.39182228118e-06,0,7,0,True
0.1,0.1,Output18,thin_disk_dominated,0.1,quiescent,10,10.4,10.2,0,0.000338083748093,0.0166280902212,58.9991796359,0,4.54342569315e-05,0,59,0,True
0.1,0.1,Output18,thin_disk_dominated,0.1,quiescent,10.4,10.8,10.6,0,0.000793116314395,0.0385800777102,24.9995270477,0,1.92570414675e-05,0,25,0,True
0.1,0.1,Output18,thin_disk_dominated,0.1,quiescent,10.8,11.2,11,0,0.000433090945745,0.0212518165476,45.9992168041,0,3.54286798204e-05,0,46,0,True
0.1,0.1,Output18,thin_disk_dominated,0.1,quiescent,11.2,11.6,11.4,0,0.00026620808774,0.0131158643549,74.9993045407,0,5.77474324357e-05,0,75,0,True
0.1,0.1,Output18,thin_disk_dominated,0.1,quiescent,11.6,12,11.8,0,0.00123200196168,0.0592956852937,15.9999812264,0,1.23252459429e-05,0,16,0,True
