  150.299367   1.788264   0.7429
  150.296002   1.777292   0.759
  150.280007   1.743823   0.0
  150.279514   1.701568   0.773
  150.310147   1.673747   0.527
  150.234049   1.670167   0.2662
  150.329632   1.659527   0.3648
  150.319798   1.656036   0.344
  150.209373   1.791559   0.3726
  150.073971   1.772608   0.7335
  150.173907   1.75942    0.3397
  150.135934   1.750875   0.4033
  150.143863   1.719744   0.3486
  150.162405   1.714474   0.7426
  150.119843   1.692379   0.3383
  150.184946   1.69439    0.569
  150.142172   1.686694   0.7311
  150.178891   1.678343   0.553
  150.136157   1.676691   0.792
  150.213432   1.674213   0.1664
  150.188572   1.654972   0.516
  150.188756   1.646586   0.2208
  150.164236   1.672046   0.839
  150.217481   1.665961   0.7125
  150.145697   1.643715   0.843
  149.915263   1.78962    0.745
  149.914563   1.783327   0.2663
  149.896268   1.760952   0.3514
  149.97996    1.765262   0.7309
  150.009859   1.736792   0.2214
  150.032152   1.731133   0.6027
  149.990473   1.721019   0.3728
  149.886934   1.769744   0.1243
  149.847791   1.76217    0.7142
  149.848274   1.760449   0.7469
  149.734326   1.754776   0.6335
  149.785323   1.749322   0.2199
  149.794291   1.729314   0.3504
  149.815163   1.720438   0.6948
  149.812781   1.705319   0.446
  149.845275   1.70979    0.7544
  149.738282   1.707311   0.6697
  149.759928   1.701453   0.8085
  149.776823   1.699728   0.7727
  149.833969   1.684342   0.7505
  149.846279   1.680101   0.747
  149.813175   1.66251    0.6775
  149.634106   1.781956   0.6151
  149.64004    1.777964   0.1645
  149.586434   1.769299   0.7835
  149.607806   1.767245   0.4478
  149.692653   1.698531   0.481
  149.704657   1.694004   0.673
  149.688278   1.678561   0.2194
  149.700388   1.673861   0.8051
  150.338567   1.794116   0.34
  150.22753    1.794484   0.8073
  150.322739   1.953057   0.5095
  150.278355   1.948399   0.0
  150.308097   1.916507   0.8426
  150.331029   1.879749   0.8386
  150.326986   1.870452   0.7847
  150.315122   1.847922   0.4728
  150.328667   1.826871   0.8117
  150.306394   1.810549   0.3929
  150.312419   1.807314   0.3946
  150.080769   1.793484   0.7234
  150.182881   1.906682   0.0
  150.18894    1.909984   0.472
  150.08486    1.906149   0.837
  150.20334    1.903811   0.674
  150.087562   1.899836   0.3422
  150.195167   1.841525   0.808
  150.089849   1.829576   0.0
  150.199739   1.826578   0.0
  150.067625   1.82302    0.3361
  150.071655   1.819017   0.677
  150.072204   1.813177   0.3707
  150.163517   1.805734   0.3372
  150.081549   1.805749   0.8138
  149.950607   1.955442   0.3413
  149.991515   1.948813   0.7098
  149.927312   1.9383     0.7372
  149.948424   1.932153   0.3415
  149.935153   1.927675   0.677
  149.917845   1.91011    0.7747
  149.932208   1.907356   0.8171
  150.028962   1.889047   0.722
  149.910439   1.88508    0.731
  150.000712   1.876586   0.3184
  149.973413   1.869785   0.1242
  149.939105   1.84805    0.6299
  149.991252   1.836425   0.7911
  149.942782   1.822544   0.3686
  150.039295   1.81877    0.3605
  150.041517   1.80124    0.2668
  149.834673   1.796062   0.694
  149.892207   1.953275   0.6824
  149.751561   1.88755    0.7605
  149.857699   1.887563   0.444
  149.760687   1.871199   0.5316
  149.817397   1.863382   0.738
  149.821413   1.852852   0.7416
  149.821126   1.84531    0.7595
  149.732739   1.839615   0.7869
  149.835949   1.801467   0.7158
  149.621397   1.956688   0.8284
  149.637594   1.93313    0.4033
  149.62681    1.917629   0.7432
  149.593062   1.904791   0.8342
  149.684365   1.89992    0.3398
  149.64773    1.882074   0.7659
  149.607036   1.87051    0.7613
  149.647854   1.87645    0.3552
  149.692421   1.859318   0.1236
  149.691846   1.828472   0.4713
  150.231555   2.118946   0.684
  150.297072   2.11771    0.1676
  150.30201    2.099815   0.1873
  150.31449    2.064207   0.7376
  150.331172   2.047224   0.729
  150.230608   2.048572   0.8298
  150.28007    2.021013   0.2474
  150.312937   1.999404   0.7256
  150.301044   1.978438   0.3884
  150.277791   1.967648   0.3315
  150.224467   2.104747   0.7433
  150.090791   2.086645   0.3088
  150.075356   2.081426   0.1235
  150.198504   2.068475   0.1853
  150.161298   2.071042   0.748
  150.091865   2.040268   0.3691
  150.191353   2.039262   0.7342
  150.182883   2.029317   0.2241
  150.068021   2.017114   0.3416
  150.176425   2.013948   0.572
  150.112322   2.005241   0.1653
  150.121299   1.997405   0.7751
  150.0918     1.984238   0.8374
  149.950057   2.11499    0.7094
  149.901127   2.11144    0.7785
  150.024927   2.039386   0.3145
  149.997624   2.027016   0.76
  149.902933   1.985337   0.743
  150.000377   1.978608   0.0802
  150.048955   1.974372   0.668
  149.97227    1.969084   0.824
  149.948209   2.125629   0.714
  149.893561   2.107717   0.6866
  149.875363   2.070206   0.6615
  149.876126   2.0727     0.6875
  149.78636    2.063602   0.3499
  149.786642   2.060271   0.3501
  149.737665   2.065187   0.676
  149.881262   2.055276   0.8316
  149.829111   2.015854   0.3614
  149.808106   1.997578   0.7937
  149.839818   1.976615   0.7379
  149.754252   1.969094   0.7306
  149.790111   1.967321   0.6419
  149.687279   2.103871   0.707
  149.702586   2.033001   0.34
  149.701171   2.004449   0.842
  149.641612   1.980233   0.8282
  149.653371   1.968016   0.3378
  150.273207   2.273066   0.8498
  150.339199   2.181551   0.4985
  150.277085   2.145195   0.7747
  150.27081    2.140977   0.8065
