0.100-0.240 40.50  40.75 40.64346512674300271  9.407974698846631109e-03 4.808445958441802219e-03 6.054128862189231668e-04 3.575992699260757690e-02 4.747378584568676674e-01  782
0.100-0.240 40.75  41.00 40.88602734535102456  5.415686732937582439e-03 6.039321173723156792e-03 1.373230063457599225e-03 2.802759273356052183e-02 1.085752521836581330e+00 1273
0.100-0.240 41.00  41.25 41.12884693279080750  1.045030944315319954e-02 1.164664050105113369e-01 7.640604885893550633e-04 2.881952088521174890e-02 1.111519692910356305e+01 1204
0.100-0.240 41.25  41.50 41.37302863967146749  9.127229870358617150e-04 3.117293698726020658e-04 6.275047353401575108e-03 4.099600308453938552e-02 2.942667154563609611e-01  595
0.100-0.240 41.50  41.75 41.61988376519582289  3.455237051126245165e-04 1.383543549453207587e-04 1.164063837599215584e-02 7.106690545187013819e-02 3.177117411535363423e-01  198
0.100-0.240 41.75  42.00 41.86810775858953093  5.394244896375752132e-05 1.424352411907424076e-05 1.356864845070833610e-02 1.474419561548971358e-01 1.030397748764992349e-01   46
0.100-0.240 42.00  42.25 42.11341478162757568  9.635864527236618764e-06 8.335239875435857063e-06 1.534547262770528421e-02 3.333333333333333148e-01 5.163437202352947342e-01    9

0.240-0.400 42.00  42.25 42.11341478162757568  5.966271733815523795e-05 2.847366115920076210e-05 1.693633273900104624e-02 1.348399724926484244e-01 3.254674816682712191e-01   55
0.240-0.400 42.25  42.50 42.36467607583458062  3.221279960579221158e-06 1.408746745717370424e-06 7.504857461921783657e-02 3.162277660168379412e-01 4.604881053275556441e-02   10
0.240-0.400 42.50  42.75 42.60832381498133969  3.980285897323327631e-07 4.212320369518158407e-07 2.765783677214580516e-01 7.071067811865475727e-01 7.461078213324691399e-02    2

0.500-0.695 41.00  41.25 41.12884693279080750  3.605626744694830771e-03 2.384051924621244357e-04 2.069868127824342832e-02 3.388370737858486387e-02 1.153793087233647569e-02  871
0.500-0.695 41.25  41.50 41.37302863967146749  2.052654175482573028e-03 9.701201580701669159e-05 1.304815405310404824e-02 3.342631352324378080e-02 7.872762506216868716e-04  895
0.500-0.695 41.50  41.75 41.61988376519582289  7.895832415677094722e-04 5.122114716813447316e-05 2.310056794229392238e-02 3.993615319154358856e-02 1.834396275437039352e-03  627
0.500-0.695 41.75  42.00 41.86810775858953093  3.950307531201811178e-04 5.421822851234773800e-05 7.240810728500590709e-02 4.385290096535145871e-02 2.098964396874415661e-02  520
0.500-0.695 42.00  42.25 42.11341478162757568  1.396507252233289333e-04 2.165621467814872581e-05 9.082749907766018982e-02 5.564148840746572372e-02 8.605142230392461705e-03  323
0.500-0.695 42.25  42.50 42.36467607583458062  5.106054780361592084e-05 1.488024973265142831e-05 9.395620252764860791e-02 8.703882797784891212e-02 1.104285905234500820e-01  132
0.500-0.695 42.50  42.75 42.60832381498133969  7.908936747642983760e-06 2.282282003903099526e-06 5.893659607876017975e-02 1.543033499620919125e-01 7.533006997087840495e-02   42
0.500-0.695 42.75  43.00 42.84027202571825654  1.947149040795079732e-06 9.531340972401031865e-07 6.101135830392187542e-02 3.779644730092272531e-01 5.052655256749608720e-02    7
0.500-0.695 43.00  43.25 43.07805630899851934  1.475566280221795553e-06 1.919644563760030155e-06 3.000000000003021916e-01 1.000000000000000000e+00 9.544806560898188219e-04    1

0.695-0.880 47.75  41.00 40.88602734535102456  8.919037630916042819e-03 6.308891438848719365e-04 7.232956737475018140e-03 5.538487756217113506e-02 8.117279733063177682e-03  326
0.695-0.880 40.00  41.25 41.12884693279080750  7.599046590187872458e-03 5.210296973017121414e-04 1.093664187342865447e-02 4.267895997763199167e-02 1.494953867255215986e-02  549
0.695-0.880 42.25  41.50 41.37302863967146749  2.909876708351228410e-03 2.133362200655338620e-04 2.526291085477172169e-02 3.661260129691062265e-02 1.143900988743620784e-02  746
0.695-0.880 45.50  41.75 41.61988376519582289  1.469004091516665656e-03 1.736103349689564485e-04 2.128633507828090257e-02 3.663716527236558773e-02 6.025883554040835366e-02  745
0.695-0.880 47.75  42.00 41.86810775858953093  4.816866359964749357e-04 4.712435665195147317e-05 2.617661896810836303e-02 4.188539082916955397e-02 2.976996877622838794e-02  570
0.695-0.880 40.00  42.25 42.11341478162757568  1.773568622565417348e-04 1.370750942248811134e-05 1.914911997277793029e-02 4.794633014853841302e-02 1.019228066104594689e-02  435
0.695-0.880 42.25  42.50 42.36467607583458062  6.535327721838864840e-05 9.118097074782572227e-06 2.678383587327799395e-02 6.201736729460422676e-02 5.071891675377009773e-02  260
0.695-0.880 45.50  42.75 42.60832381498133969  2.409070815063799086e-05 4.897167584152670523e-06 6.526366119756427109e-02 9.365858115816939888e-02 4.435810762530165152e-02  114
0.695-0.880 47.75  43.00 42.84027202571825654  2.911889180460699685e-06 1.189368834810381641e-06 8.178095559737105780e-02 2.085144140570747429e-01 1.181572743511230261e-01   23
0.695-0.880 40.00  43.25 43.07805630899851934  3.577705478613474128e-07 2.517648677072447695e-07 1.757753414400920200e-01 5.000000000000000000e-01 2.792950294194276525e-02    4

0.880-1.090 41.100 41.25 41.112884693279080750 8.725507348748667499e-03 7.209279625227571400e-04 5.393956242912252043e-03 7.537783614444090730e-02 1.851249884927548030e-03  176
0.880-1.090 41.125 41.50 41.137302863967146749 4.603406756484012576e-03 3.405160843391449518e-04 1.538206792729976922e-02 5.423261445466404096e-02 4.355770882788353830e-03  340
0.880-1.090 41.150 41.75 41.161988376519582289 1.796421152601185680e-03 1.539874497943199960e-04 1.764414237730507762e-02 5.330017908890261058e-02 1.477469245842181166e-02  352
0.880-1.090 41.175 42.00 41.186810775858953093 4.769980507983301852e-04 4.516816514501708539e-05 2.447756247912180605e-02 5.555555555555555247e-02 1.465943903011809185e-02  324
0.880-1.090 42.200 42.25 42.211341478162757568 1.731607501860866745e-04 1.736959372598210135e-05 3.082041304466832596e-02 6.154574548966636888e-02 7.942910970826963166e-03  264
0.880-1.090 42.225 42.50 42.236467607583458062 9.916642950277742489e-05 1.270801241021917660e-05 5.863402161062435808e-02 6.933752452815364342e-02 1.767846414811947216e-04  208
0.880-1.090 42.250 42.75 42.260832381498133969 3.074308123920518936e-05 4.757049507638487992e-06 5.753455676309544159e-02 8.543576577167609487e-02 1.176529002874890720e-02  137
0.880-1.090 42.275 43.00 42.284027202571825654 1.059026506893828040e-05 4.533473998374512865e-06 6.830363791991522771e-02 1.348399724926484244e-01 2.249357595430944157e-01   55
0.880-1.090 43.300 43.25 43.307805630899851934 7.154548638410590646e-07 4.788864645808511560e-07 1.053754283278053594e-01 3.535533905932737864e-01 2.104166405672465712e-01    8
0.880-1.090 43.325 43.50 43.337769553102700115 4.914836105660829418e-08 7.059698575489387319e-08 3.000000000030237923e-01 1.000000000000000000e+00 1.364056956738145809e-01    1

1.090-1.340 41.175 42.00 41.186810775858953093 1.347451930016421023e-03 1.408495330874631084e-04 1.216582302414405230e-02 8.111071056538125823e-02 1.125375053404014357e-02  152
1.090-1.340 42.200 42.25 42.211341478162757568 6.653544074621483857e-04 8.666016402910636514e-05 3.718278406095855415e-02 8.084520834544431378e-02 1.221862963019407396e-02  153
1.090-1.340 42.225 42.50 42.236467607583458062 2.010924621630389775e-04 2.596762325947341685e-05 4.572927637401085627e-02 7.474350927519358978e-02 8.659967414506830954e-03  179
1.090-1.340 42.250 42.75 42.260832381498133969 8.516702801735969244e-05 1.235875114997242842e-05 4.534478653791942926e-02 9.901475429766742886e-02 7.523814385275977984e-04  102
1.090-1.340 42.275 43.00 42.284027202571825654 2.977218365613310631e-05 6.580399299569927628e-06 6.877189886609598457e-02 1.443375672974064328e-01 7.915614682872039801e-03   48
1.090-1.340 43.300 43.25 43.307805630899851934 2.153318544971773928e-06 8.310987650717354759e-07 8.831580779099354461e-02 2.672612419124243965e-01 3.038477977714764897e-02   14
1.090-1.340 43.325 43.50 43.337769553102700115 3.736842781153850272e-08 7.844759458910500751e-08 1.709699194860441473e-01 7.071067811865475727e-01 1.221224746654614668e+00    2

1.340-1.650 42.225 42.50 42.236467607583458062 3.713178793679401961e-04 4.927871404190082048e-05 1.543546595434643932e-02 1.154700538379251629e-01 1.807491834810248318e-03   75
1.340-1.650 42.250 42.75 42.260832381498133969 3.262626351883699070e-04 5.938207860053728790e-05 2.613427635317231226e-02 1.507556722888818146e-01 5.117036516551767659e-03   44
1.340-1.650 42.275 43.00 42.284027202571825654 1.047280103305146733e-04 3.017867889728434853e-05 4.814056972768921555e-02 2.357022603955158113e-01 4.319608961070807093e-03   18
1.340-1.650 43.300 43.25 43.307805630899851934 1.489215673847533868e-05 7.911448538167598879e-06 1.081765754065324991e-01 4.082482904638629617e-01 1.482448082279377161e-02    6
1.340-1.650 43.350 43.75 43.356598242843177360 2.031039895302400341e-07 2.644327618044589036e-07 2.999999999998629319e-01 1.000000000000000000e+00 1.957496827581882339e-03    1
