target_redshift,redshift,output_name,mode_criterion,lambda_threshold,population,mass_low_log10_msun,mass_high_log10_msun,mass_center_log10_msun,fraction,lower,upper,effective_n,effective_successes,total_weight,success_weight,raw_n,raw_successes,is_upper_limit
0.1,0.1,Output18,inclusive,0.1,star_forming,11.2,11.6,11.4,0.0163742701649,0.00682941520664,0.0417613817349,60.9991300761,0.998816235688,4.69921690232e-05,7.69462471219e-07,61,1,False
0.1,0.1,Output18,inclusive,0.1,star_forming,11.6,12,11.8,0,0.00275794591345,0.127942087951,6.99999629315,0,5.39182228118e-06,0,7,0,True
0.1,0.1,Output18,inclusive,0.1,quiescent,10,10.4,10.2,0,0.000338083748093,0.0166280902212,58.9991796359,0,4.54342569315e-05,0,59,0,True
0.1,0.1,Output18,inclusive,0.1,quiescent,10.4,10.8,10.6,0,0.000793116314395,0.0385800777102,24.9995270477,0,1.92570414675e-05,0,25,0,True
0.1,0.1,Output18,inclusive,0.1,quiescent,10.8,11.2,11,0,0.000433090945745,0.0212518165476,45.9992168041,0,3.54286798204e-05,0,46,0,True
0.1,0.1,Output18,inclusive,0.1,quiescent,11.2,11.6,11.4,0,0.00026620808774,0.0131158643549,74.9993045407,0,5.77474324357e-05,0,75,0,True
0.1,0.1,Output18,inclusive,0.1,quiescent,11.6,12,11.8,0,0.00123200196168,0.0592956852937,15.9999812264,0,1.23252459429e-05,0,16,0,True
0.1,0.1,Output18,inclusive,0.01,star_forming,10,10.4,10.2,0.0567093838469,0.0519278653272,0.0619028196659,2151.94506033,122.035478444,0.00165726023912,9.39822070344e-05,2152,122,False
0.1,0.1,Output18,inclusive,0.01,star_forming,10.4,10.8,10.6,0.0593855025267,0.0530827240716,0.0663852547814,1263.96919732,75.0614459614,0.000973336596733,5.78020829246e-05,1264,75,False
0.1,0.1,Output18,inclusive,0.01,star_forming,10.8,11.2,11,0.0753531261557,0.0642958765555,0.0881385628011,490.987229198,36.9974226226,0.000378142628823,2.84942292145e-05,491,37,False
0.1,0.1,Output18,inclusive,0.01,star_forming,11.2,11.6,11.4,0.114675212205,0.0801472411468,0.161729350718,60.9991300761,6.9950881858,4.69921690232e-05,5.38883695471e-06,61,7,False
0.1,0.1,Output18,inclusive,0.01,star_forming,11.6,12,11.8,0,0.00275794591345,0.127942087951,6.99999629315,0,5.39182228118e-06,0,7,0,True
0.1,0.1,Output18,inclusive,0.01,quiescent,10,10.4,10.2,0,0.000338083748093,0.0166280902212,58.9991796359,0,4.54342569315e-05,0,59,0,True
0.1,0.1,Output18,inclusive,0.01,quiescent,10.4,10.8,10.6,0,0.000793116314395,0.0385800777102,24.9995270477,0,1.92570414675e-05,0,25,0,True
0.1,0.1,Output18,inclusive,0.01,quiescent,10.8,11.2,11,0,0.000433090945745,0.0212518165476,45.9992168041,0,3.54286798204e-05,0,46,0,True
0.1,0.1,Output18,inclusive,0.01,quiescent,11.2,11.6,11.4,0,0.00026620808774,0.0131158643549,74.9993045407,0,5.77474324357e-05,0,75,0,True
0.1,0.1,Output18,inclusive,0.01,quiescent,11.6,12,11.8,0,0.00123200196168,0.0592956852937,15.9999812264,0,1.23252459429e-05,0,16,0,True
0.1,0.1,Output18,inclusive,0.001,star_forming,10,10.4,10.2,0.0739319547933,0.0684883428183,0.0797714693171,2151.94506033,159.097504918,0.00165726023912,0.000122524489079,2152,159,False
0.1,0.1,Output18,inclusive,0.001,star_forming,10.4,10.8,10.6,0.0894600281092,0.0817557148531,0.0978137001404,1263.96919732,113.074719922,0.000973336596733,8.70747193035e-05,1264,113,False
0.1,0.1,Output18,inclusive,0.001,star_forming,10.8,11.2,11,0.146675810059,0.131433884596,0.163355388806,490.987229198,72.0159495712,0.000378142628823,5.54643764004e-05,491,72,False
0.1,0.1,Output18,inclusive,0.001,star_forming,11.2,11.6,11.4,0.360725895267,0.301973523761,0.424000306215,60.9991300761,22.0039658072,4.69921690232e-05,1.69512922414e-05,61,22,False
0.1,0.1,Output18,inclusive,0.001,star_forming,11.6,12,11.8,0,0.00275794591345,0.127942087951,6.99999629315,0,5.39182228118e-06,0,7,0,True
0.1,0.1,Output18,inclusive,0.001,quiescent,10,10.4,10.2,0,0.000338083748093,0.0166280902212,58.9991796359,0,4.54342569315e-05,0,59,0,True
0.1,0.1,Output18,inclusive,0.001,quiescent,10.4,10.8,10.6,0,0.000793116314395,0.0385800777102,24.9995270477,0,1.92570414675e-05,0,25,0,True
