population,quantity,raw_n,weighted_q16_dex,weighted_median_dex,weighted_q84_dex
all,log10_lbol_hbeta_over_raw,7835,-2.7290190261407368,-2.0286063206085143,-0.9684969231920374
all,log10_mbh_sigma_over_true,8489,0.5257419114871237,0.8418023071688259,1.101791977599677
all,log10_lambda_mock_over_raw,7835,-3.672246642943389,-2.7681834387602313,-1.8445976614746047
star_forming,log10_lbol_hbeta_over_raw,7367,-2.713930586727695,-2.0384813926714354,-0.9650899832515587
star_forming,log10_mbh_sigma_over_true,8020,0.5363223125359265,0.8480116228053821,1.1076771351726795
star_forming,log10_lambda_mock_over_raw,7367,-3.6719710514103463,-2.778555717000214,-1.8531383956838383
quiescent,log10_lbol_hbeta_over_raw,468,-3.045137294290788,-1.8736922093132857,-1.036192523026052
quiescent,log10_mbh_sigma_over_true,469,0.3033839283254552,0.7250883793490671,0.9836927532119981
quiescent,log10_lambda_mock_over_raw,468,-3.6863212852485017,-2.6196102345309926,-1.7227023978228746
