evaluation_id,dust_draw_index,dust_case,scatter_mode,delta_0,delta_z,delta_M,delta_Mz,attenuation_scatter,z_pivot,observable,observable_label,sample_label,output_name,redshift,bin_index,log10_luminosity_min,log10_luminosity_center,log10_luminosity_max,phi_mpc3_dex,phi_mpc3_dex_shot_noise_std_conservative,phi_mpc3_dex_shot_noise_std_smoothed_expectation,log10_phi_shot_noise_std_conservative,log10_phi_shot_noise_std_smoothed_expectation,dn_dlnL_mpc3,dn_dlnL_mpc3_shot_noise_std_conservative,dn_dlnL_mpc3_shot_noise_std_smoothed_expectation,log10_dn_dlnL_shot_noise_std_conservative,log10_dn_dlnL_shot_noise_std_smoothed_expectation,z_min,z_max,target_redshift
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z1,Output16,0.4,0,40.05,40.1,40.150000000000006,0.01748082528908472,0.00036692527092980413,0.00026714124119144283,0.009115909449376644,0.006636870114517568,0.00759182596216431,0.00015935362043566957,0.0001160179669382293,0.009115909449376642,0.006636870114517568,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z1,Output16,0.4,1,40.150000000000006,40.2,40.25,0.018172084872986907,0.00037410833212461774,0.00027291300213751484,0.008940811437507069,0.006522345217755491,0.007892036185015768,0.00016247318427575053,0.00011852461086797306,0.008940811437507069,0.006522345217755491,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z1,Output16,0.4,2,40.25,40.300000000000004,40.35,0.018120365880616426,0.00037356435521973145,0.0002738163198125879,0.008953292619837351,0.006562611237164356,0.007869574912019672,0.0001622369381076756,0.00011891691674966297,0.008953292619837351,0.006562611237164357,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z1,Output16,0.4,3,40.35,40.4,40.45,0.017140405286373176,0.0003633233791722776,0.0002693024856111079,0.009205694736191995,0.006823443291432313,0.007443983433457196,0.000157789338720963,0.000116956583463734,0.009205694736191997,0.006823443291432313,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z1,Output16,0.4,4,40.45,40.5,40.55,0.014621536931082806,0.00033557464149685916,0.0002460045377715066,0.00996736634155977,0.007306920864810442,0.006350052806113869,0.0001457382150687479,0.00010683841327732539,0.009967366341559772,0.007306920864810442,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z1,Output16,0.4,5,40.55,40.6,40.650000000000006,0.013172445842969208,0.0003184930364648066,0.0002326492588549931,0.01050068984228201,0.007670427386386555,0.005720720542770954,0.00013831976826127665,0.00010103828933960474,0.01050068984228201,0.007670427386386556,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z1,Output16,0.4,6,40.650000000000006,40.7,40.75,0.011977393225596275,0.00030371386301833735,0.00021970057709403968,0.011012517690786386,0.007966236601382962,0.005201715785461853,0.00013190125478638402,9.54147483029014e-05,0.011012517690786386,0.007966236601382962,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z1,Output16,0.4,7,40.75,40.800000000000004,40.85,0.011380841090473168,0.00029603482490117263,0.00021263666228627185,0.011296730169916587,0.008114244663213529,0.004942636485010284,0.00012856629090577464,9.234692908125316e-05,0.011296730169916587,0.00811424466321353,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z1,Output16,0.4,8,40.85,40.9,40.95,0.01114819070139889,0.00029300728870506254,0.00020936605525496052,0.011414538201797534,0.008156168559591566,0.00484159770482268,0.00012725144864204167,9.092652249508068e-05,0.011414538201797534,0.008156168559591568,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z1,Output16,0.4,9,40.95,41.0,41.05,0.010361653294110278,0.00028248704419517643,0.0002007126605257345,0.011840056892548198,0.008412595793375461,0.004500008849026745,0.00012268256450312514,8.716840091444712e-05,0.011840056892548198,0.008412595793375463,,,
