observable_key,analysis,bin_index,x_display,y_display
mzr_blanc2019,massMetallicityBlanc2019,1,8.75,8.210620831978584
mzr_blanc2019,massMetallicityBlanc2019,2,8.8,8.230801408889521
mzr_blanc2019,massMetallicityBlanc2019,3,8.85,8.249675658099733
mzr_blanc2019,massMetallicityBlanc2019,4,8.9,8.26912869638304
mzr_blanc2019,massMetallicityBlanc2019,5,8.95,8.289991987709687
mzr_blanc2019,massMetallicityBlanc2019,6,9.0,8.311221278823009
mzr_blanc2019,massMetallicityBlanc2019,7,9.05,8.331275846287747
mzr_blanc2019,massMetallicityBlanc2019,8,9.1,8.349301774719532
mzr_blanc2019,massMetallicityBlanc2019,9,9.15,8.365982552434687
mzr_blanc2019,massMetallicityBlanc2019,10,9.2,8.382622928886784
mzr_blanc2019,massMetallicityBlanc2019,11,9.25,8.39962374911256
mzr_blanc2019,massMetallicityBlanc2019,12,9.3,8.417363203511508
mzr_blanc2019,massMetallicityBlanc2019,13,9.35,8.436323096314682
mzr_blanc2019,massMetallicityBlanc2019,14,9.4,8.455375620528567
mzr_blanc2019,massMetallicityBlanc2019,15,9.45,8.472914959092535
mzr_blanc2019,massMetallicityBlanc2019,16,9.5,8.488952476694093
mzr_blanc2019,massMetallicityBlanc2019,17,9.55,8.50465273022952
mzr_blanc2019,massMetallicityBlanc2019,18,9.6,8.521045876482237
mzr_blanc2019,massMetallicityBlanc2019,19,9.65,8.537655622325222
mzr_blanc2019,massMetallicityBlanc2019,20,9.7,8.552495560275059
mzr_blanc2019,massMetallicityBlanc2019,21,9.75,8.56499421088916
mzr_blanc2019,massMetallicityBlanc2019,22,9.8,8.576985589566522
mzr_blanc2019,massMetallicityBlanc2019,23,9.85,8.589513277958698
mzr_blanc2019,massMetallicityBlanc2019,24,9.9,8.602240108536716
mzr_blanc2019,massMetallicityBlanc2019,25,9.95,8.616130475672998
mzr_blanc2019,massMetallicityBlanc2019,26,10.0,8.631579213786514
mzr_blanc2019,massMetallicityBlanc2019,27,10.05,8.64647312791597
mzr_blanc2019,massMetallicityBlanc2019,28,10.1,8.660290409041957
mzr_blanc2019,massMetallicityBlanc2019,29,10.15,8.674360689027107
mzr_blanc2019,massMetallicityBlanc2019,30,10.2,8.687879387049406
mzr_blanc2019,massMetallicityBlanc2019,31,10.25,8.699334445463412
mzr_blanc2019,massMetallicityBlanc2019,32,10.3,8.708631162885847
mzr_blanc2019,massMetallicityBlanc2019,33,10.35,8.717298509697793
mzr_blanc2019,massMetallicityBlanc2019,34,10.4,8.72716347678006
mzr_blanc2019,massMetallicityBlanc2019,35,10.45,8.737535408149432
mzr_blanc2019,massMetallicityBlanc2019,36,10.5,8.746404017519808
mzr_blanc2019,massMetallicityBlanc2019,37,10.55,8.753244221751938
mzr_blanc2019,massMetallicityBlanc2019,38,10.6,8.758509854002568
mzr_blanc2019,massMetallicityBlanc2019,39,10.65,8.763129204993819
mzr_blanc2019,massMetallicityBlanc2019,40,10.7,8.767910894591338
mzr_blanc2019,massMetallicityBlanc2019,41,10.75,8.773315028582669
mzr_blanc2019,massMetallicityBlanc2019,42,10.8,8.781158354996025
mzr_blanc2019,massMetallicityBlanc2019,43,10.85,8.79334399973241
mzr_blanc2019,massMetallicityBlanc2019,44,10.9,8.807485747314713
mzr_blanc2019,massMetallicityBlanc2019,45,10.95,8.818416172559713
mzr_blanc2019,massMetallicityBlanc2019,46,11.0,8.824312679835131
mzr_blanc2019,massMetallicityBlanc2019,47,11.05,8.830582827374414
mzr_blanc2019,massMetallicityBlanc2019,48,11.1,8.845217087042698
